source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
3373085521202437632,17694515304862062,G,1716.8383732529155,10.427959253785666,1271049.8640846065,5190.518902244344,244.87915,false,true,4097,369295546864633574
3373085521202437632,17694515306172781,G,1716.838373252919,10.42855637547697,1270351.0177405574,5105.878397644069,248.80167,false,true,4097,369295546864633574
3373085521202437632,17698607598593968,G,1716.9123903058614,10.438426442831098,1258855.0107774455,8202.887090679855,153.46487,false,false,12288,369295546864633574
3373085521202437632,19586118780770130,G,1751.0504514736845,10.383509487489137,1324166.1906937023,8824.515807665923,150.05539,false,false,4097,369295546864633574
3373085521202437632,26900786954801585,G,1883.3337249260867,10.20164069196789,1565633.1678833633,10013.99271518967,156.34454,false,false,4097,369295546864633574
3373085521202437632,28182163789324363,G,1906.5045735079755,10.160819986513467,1625617.2363813843,3376.077651664893,481.51062,false,false,1,369295546864633574
3373085521202437632,28186256082400550,G,1906.5785727571179,10.144221610527254,1650660.0705598523,4144.478513665723,398.27933,false,false,4097,369295546864633574
3373085521202437632,29716074718847747,G,1934.2418224747055,10.229477992555402,1526001.965614015,4313.201748522957,353.79794,false,false,4097,369295546864633574
3373085521202437632,29720167000626914,G,1934.3158220319092,10.232281814255037,1522066.2788887413,4004.2597332328437,380.1118,false,false,4097,369295546864633574
3373085521202437632,37477713289450345,G,2074.6067536054484,10.321885415284793,1401496.8434020649,11708.087953505106,119.70331,false,false,4097,369295546864633574
3373085521202437632,37487454119944931,G,2074.782925076684,10.321180420696663,1402407.1644694982,3507.9463269674166,399.78012,false,false,4097,369295546864633574
3373085521202437632,38938594502128464,G,2101.028624854949,10.528855348786808,1158254.911655287,1832.8424028421362,631.94464,false,false,4097,369295546864633574
3373085521202437632,38942686790717871,G,2101.1026389585995,10.53808760406632,1148447.769003098,8317.735239678444,138.07217,false,false,4097,369295546864633574
3373085521202437632,40334503517501143,G,2126.2753716565117,10.691809882730638,996832.8396780094,2036.6717540179473,489.44208,false,false,4097,369295546864633574
3373085521202437632,40338595809916722,G,2126.34938664895,10.702758168321173,986831.5428356938,7149.617978162421,138.02577,false,false,4097,369295546864633574
3373085521202437632,49187078718002717,G,2286.3663080566816,10.585819261003717,1099052.8724291748,2768.934663842008,396.92264,false,false,1,369295546864633574
3373085521202437632,49196819542210275,G,2286.5424446082,10.604557695260024,1080247.355833386,3905.639624542637,276.58655,false,false,4097,369295546864633574
3373085521202437632,50468525936092063,G,2309.538438764632,10.67638308956598,1011097.5410936844,1330.6634612048863,759.84467,false,false,4097,369295546864633574
3373085521202437632,50472618255488162,G,2309.6124399003647,10.679798336890196,1007922.0710246199,7971.908389980031,126.43423,false,false,4097,369295546864633574
3373085521202437632,17694515306172781,BP,1716.8386824543963,12.50226535287165,137926.94823937322,681.7944680114393,202.2999,false,false,0,369295546864633574
3373085521202437632,17698607598593968,BP,1716.9127047772959,12.493620390327047,139029.54842915197,1333.4610034421846,104.26218,false,false,0,369295546864633574
3373085521202437632,19586118780770130,BP,1751.0507583010044,12.427720401112428,147729.45915409608,599.336583411143,246.48831,false,false,0,369295546864633574
3373085521202437632,26900786954801585,BP,1883.3340334519796,12.100024523061002,199776.98708348005,717.7512646680132,278.33734,false,false,0,369295546864633574
3373085521202437632,28182163789324363,BP,1906.5048867780629,11.93518849500823,232530.47046678152,1538.947928642414,151.09703,false,false,0,369295546864633574
3373085521202437632,28186256082400550,BP,1906.5788858730773,11.89809745396651,240611.448007208,1596.871105880597,150.67682,false,false,0,369295546864633574
3373085521202437632,29716074717668100,BP,1934.2421280961755,12.069499491715668,205473.33579062173,729.7712062618226,281.55856,false,true,0,369295546864633574
3373085521202437632,29716074718847747,BP,1934.2421280961755,12.076768543638412,204102.27748687865,727.1489635118833,280.6884,false,true,0,369295546864633574
3373085521202437632,29720167000626914,BP,1934.316128161314,12.084986992017,202563.16376671236,754.729834889937,268.39163,false,false,0,369295546864633574
3373085521202437632,37477713289450345,BP,2074.6070599917466,12.203125964261814,181679.06351305282,646.4246566169608,281.0522,false,false,0,369295546864633574
3373085521202437632,37487454119944931,BP,2074.783219384692,12.216013648445436,179535.28230125408,425.70555234846097,421.73584,false,false,0,369295546864633574
3373085521202437632,38938594502128464,BP,2101.0289195459563,12.5586577328353,130945.98147766525,352.0233825951987,371.98093,false,false,0,369295546864633574
3373085521202437632,38942686790717871,BP,2101.10293432003,12.559939931297388,130791.43230220924,358.48800432997444,364.84186,false,false,0,369295546864633574
3373085521202437632,40334503517501143,BP,2126.2756663986384,12.742416341232737,110557.6329407812,333.699712160117,331.30875,false,false,0,369295546864633574
3373085521202437632,40338595809916722,BP,2126.3496935913663,12.728120892064075,112022.92583757995,490.215009184965,228.51794,false,false,0,369295546864633574
3373085521202437632,49187078718002717,BP,2286.3666223585346,12.779296284855334,106865.31109203867,1018.3438014697379,104.94031,false,false,0,369295546864633574
3373085521202437632,49196819542210275,BP,2286.5427391240087,12.756289477627163,109153.95525802765,348.47841584875437,313.23016,false,false,0,369295546864633574
3373085521202437632,50468525936092063,BP,2309.5387338593036,12.935332616808148,92559.760366653,314.93842130514224,293.89795,false,false,0,369295546864633574
3373085521202437632,50472618255488162,BP,2309.6127352633216,12.954715745239998,90921.99789013545,305.21548329823264,297.89444,false,false,0,369295546864633574
3373085521202437632,17694515306172781,RP,1716.8387680552019,9.11295332951543,1817969.79577053,3356.2547112660295,541.6662,false,false,0,369295546864633574
3373085521202437632,17698607598593968,RP,1716.9127845829844,9.110065520664476,1822811.613946546,3639.841852877915,500.7942,false,false,0,369295546864633574
3373085521202437632,19586118780770130,RP,1751.050846279493,9.06879656820372,1893430.4973482944,3586.56083349874,527.9237,false,false,0,369295546864633574
3373085521202437632,26900786954801585,RP,1883.3341189422167,8.978147051474497,2058302.3727076626,2505.7442373512804,821.43353,false,false,0,369295546864633574
3373085521202437632,28186256082400550,RP,1906.5789750804115,8.881407311354167,2250116.8439980256,7442.283025975355,302.3423,false,false,0,369295546864633574
3373085521202437632,29716074717668100,RP,1934.2422168943071,8.9709825594706,2071929.4884101765,2976.0202568288523,696.2081,false,true,0,369295546864633574
3373085521202437632,29716074718847747,RP,1934.2422168943071,8.98673993184033,2042076.5705062584,2943.680781254731,693.71533,false,true,0,369295546864633574
3373085521202437632,29720167000626914,RP,1934.3162161272073,8.978052272917374,2058482.0585680208,2638.597351440406,780.1425,false,false,0,369295546864633574
3373085521202437632,37477713289450345,RP,2074.6071453482487,9.050237329526976,1926074.4199976334,2996.6228168160715,642.74835,false,false,0,369295546864633574
3373085521202437632,37487454119944931,RP,2074.783322143957,9.030368892014321,1961645.1030993722,4505.502324398714,435.38876,false,false,0,369295546864633574
3373085521202437632,38938594502128464,RP,2101.029020396369,9.251953975438052,1599507.9577482904,2164.6428010451777,738.9247,false,false,0,369295546864633574
3373085521202437632,38942686790717871,RP,2101.103019814272,9.234984250423619,1624704.1698451582,1438.265191907149,1129.6277,false,false,0,369295546864633574
3373085521202437632,40334503517501143,RP,2126.275766954618,9.366931796219268,1438782.930524572,2593.325623518328,554.80225,false,false,0,369295546864633574
3373085521202437632,40338595809916722,RP,2126.3497826900784,9.373411613965834,1430221.655892781,2329.4889200607786,613.9637,false,false,0,369295546864633574
3373085521202437632,49187078718002717,RP,2286.366698662633,9.229527118387965,1632890.8216693634,2300.192704573286,709.89307,false,false,0,369295546864633574
3373085521202437632,49196819542210275,RP,2286.5428421071815,9.228390568177415,1634601.029082337,5139.505806947292,318.04636,false,false,0,369295546864633574
3373085521202437632,50468525936092063,RP,2309.538819991855,9.338309129077249,1477217.1588960076,1466.7445597498913,1007.14,false,false,0,369295546864633574
3373085521202437632,50472618255488162,RP,2309.6128204195948,9.334598285009072,1482274.6497875687,1398.8126393469533,1059.6664,false,false,0,369295546864633574
